,BM,OU,EB,JN,NIG,VG,BMJN,BMNIG,BMVG
1200-67-5,0,0,0,2.88E-29,0,1,6.51E-21,0,1.10E-262
120-12-7,1.15E-250,2.36410114631227e-313,6.58E-211,1,0,5.97E-82,2.02E-305,0,1.98E-14
120-14-9,0.201155187,1.25E-41,8.98E-17,0,0,1.91E-159,0,4.33E-268,0.798844813
1203-21-0,0,0,0,2.37E-174,0,4.68E-111,1,0,9.38E-75
120-51-4,0,0,0,0.998932677,2.18E-39,8.96E-26,0.001067323,2.53E-200,6.40E-212
1205-42-1,0,0,0,1,2.79E-261,1.26E-89,1.11E-18,0,9.71E-215
120-72-9,0,0,0,2.88E-11,0,4.78E-70,1,0,1.18E-284
1209-71-8,0,0,0,1,0,0,2.28E-72,0,3.45E-25
121198-16-1,1,1.43E-21,1.07E-45,0,0,9.04E-85,0,5.96E-261,5.70E-262
122-00-9,0,0,0,0.999988396,0,5.01E-203,1.16E-05,0,0
122-03-2,0,0,0,1,0,6.02E-101,6.81E-71,0,2.08E-28
122-78-1,0,0,0,1.49E-109,1,5.10E-178,1.23E-291,0,0
1227-93-6,0,0,0,1,0,1.54E-118,2.35E-67,0,1.70E-136
122-97-4,0,0,0,2.88E-60,0,1.04E-99,5.28E-91,0,1
123-11-5,0,0,0,1,0,1.53E-193,9.25E-69,0,5.69E-284
123123-38-6,0,0,0,1,0,4.25E-127,7.18E-24,0,2.73E-19
123-35-3,1.12E-15,4.16E-16,4.14E-16,0.623359591,6.86E-26,0.112872095,0.21739388,0.004851934,0.0415225
1235-74-1,0,0,0,9.21E-18,1.28E-129,2.17E-126,1,4.29E-86,3.28E-246
123-76-2,0,0,0,1,2.57E-76,3.92E-198,1.76E-181,0,1.02E-149
123-92-2,0,0,0,0.99999888,0,7.56E-108,1.12E-06,0,0
123938-16-9,0,0,0,1,1.64E-215,2.47E-128,0,0,0
124-13-0,0,0,0,9.21E-144,2.32E-231,9.15E-208,1,1.53E-123,0
124-18-5,1.95E-09,0.999999997,7.78E-10,0,0,1.88E-66,0,0,0
124-19-6,0,0,0,1.11E-75,6.22E-166,2.29E-68,1,3.72E-142,4.87E-70
124-25-4,0,0,0,1.07E-22,3.04E-306,2.71E-47,1,0,4.44E-192
1246777-02-5,0,0,0,0.933253243,5.97E-64,1.84E-141,0.066746757,9.09E-202,3.98E-202
124-76-5,0,0,0,2.56E-33,1.58E-123,1.45E-99,1,1.36E-171,1.97E-129
125-12-2,0,0,0,1,0,4.45E-148,2.35E-24,0,1.79E-52
12542-32-4,0,0,0,1,0,7.16E-80,3.39E-18,0,4.29E-139
1270088-83-9,0,0,0,5.81E-104,0,2.01E-102,1,0,9.72E-264
127-25-3,0,0,0,5.76E-36,1,7.73E-129,0,0,6.86E-71
127-41-3,0,0,0,5.24E-215,5.76E-12,2.74E-126,1.24E-91,1,1.34E-78
127-91-3,3.99E-50,1.21E-49,1.47E-50,0.671694048,1.12E-05,0.059413912,0.246976383,5.03E-05,0.021854201
128-50-7,0,0,0,1,7.20E-114,0,0,0,3.07E-184
128-51-8,2.71E-253,0,3.47E-256,0.999995444,0,4.56E-06,0,0,0
13019-16-4,0.715849383,7.67E-05,0.28403505,7.95E-10,0,6.74E-119,3.88E-05,0,0
13062-00-5,0,0,0,1.00E-20,1,7.03E-83,3.29E-10,0,1.03E-238
130790-11-3,0,0,0,1,0,5.67E-126,0,0,9.54E-52
131435-09-1,1.02E-18,1,2.85E-19,2.94E-46,5.18E-303,5.39E-71,3.15E-206,0,4.59E-187
13151-34-3,0.797901751,8.31E-46,0.202098249,3.68E-263,4.50E-129,0,0,0,0
13151-35-4,4.71E-05,3.71E-10,0.96954947,0.030403181,2.64E-07,0,0,4.09E-108,3.63E-61
132032-86-1,0,0,0,7.39E-38,0,3.58E-66,1,0,2.93E-93
1329-99-3,0,0,0,1,0,1.41E-298,5.20E-11,0,0
