species,X80.56.8,X123.35.3,X562.74.3,X98.55.5,X87.44.5,X483.76.1,X79.92.5,X127.91.3,X138.86.3
Juniperus_polycarpos,32.3,3,0,0,0.2,0.8,0.9,2.2,2.8
Juniperus_excelsa,38.9,0.3,0,0,0,0.1,0.7,0.5,0.9
Juniperus_chinensis,0.1,0,0,0,2,7.8,0,0,0.1
Juniperus_thurifera,14.76,0,0,0,0,0,0,0,0
Juniperus_procera,53.7,0,0,0,0,0,0,0,0
Juniperus_microsperma,0.9,0.5,2,0,0.8,0,0,0.2,0.8
Juniperus_semiglobosa,3.18,0.07,6.48,0,0,0,0.16,0,0
Juniperus_sabina,2.74,0,8.96,0.58,0.1,0,0.04,2.63,0
Juniperus_virginiana,0,0,0,0,0,0,0,0,0
Juniperus_horizontalis,10,0,4.4,0.3,0.6,1.2,0,0,7.8
Juniperus_flaccida,32.4,3.7,0.5,0.6,0.3,0,0.6,2.9,2.7
Juniperus_osteosperma,40.5,1.3,2,0.3,0.2,0.4,1.5,0.5,4.2
Juniperus_drupacea,23.73,0,0,0,0,0,0,0,0
Juniperus_rigida,2.45,0.09,0.16,0.58,13.11,0.92,0,0,0.11
Juniperus_taxifolia,47.5,11.2,0.2,0.4,1,0,1.6,8.8,3.2
Juniperus_communis,27,2.5,1.6,14,0,0,1.2,5.2,6.2
Juniperus_formosana,17.31,3.13,1.16,0.42,1.77,0,0.32,2.15,0
Juniperus_oxycedrus,44.7,0.5,0.8,0,1.1,1.7,0.1,2.4,2.6
Juniperus_cedrus,70.7,6.3,0,0.3,0.4,0,0.6,4.1,4.5
Chamaecyparis_pisifera,29.89,0,0,0,0,0,2.69,6.74,0
Chamaecyparis_formosensis,0.32,0,0.1,0,0.03,5.31,0,0,0.03
Chamaecyparis_lawsoniana,0.4,1.7,5,0.2,0.1,1.5,0,0,27.4
Fokienia_hodginsii,73.2,4.1,0,0,1.1,0.5,0.3,2.6,10.3
Metasequoia_glyptostroboides,29.54,0.05,0.65,0.3,4.4,0,0,0,0.06
Sequoia_sempervirens,4.64,4.42,10.47,2.97,5.61,0,0,0,11.61
Sequoiadendron_giganteum,45.1,6.4,0.8,3,0,0,0.4,1.1,1.6
Athrotaxis_cupressoides,4.8,4.2,0.3,0.3,0,0,0,0.1,54
Athrotaxis_laxifolia,3.7,4.4,0.3,0.3,0.1,0.2,0,0,57.2
Athrotaxis_selaginoides,0,2.9,0.2,0.2,0,0,0,0,40.3
Cephalotaxus_sinensis,37.89,2.09,0.32,0,16.78,2.45,0,3.34,0
Cephalotaxus_griffithii,58.5,3.5,0,0.2,11.7,0.2,0,4.2,3.1
Cephalotaxus_harringtonia,0,0,1.2,2,21.1,0,0,0,0
Torreya_fargesii,40.45,1.49,0,0,7.02,0,0,0,0
Torreya_taxifolia,7.59,4.69,0,0,0.91,6.6,0,1.63,40.78
Amentotaxus_argotaenia,20.4,3.7,0.3,0,4.5,7.8,0.6,1.8,2.2
Taxus_baccata,0,0,0,0,0.18,0,0,0.2,0.49
Taxus_cuspidata,0,0,0,2.45,0,0,0,0,0
Taxus_wallichiana,2.1,0,0,0,0.3,0,0,0.9,0
Sciadopitys_verticillata,70.7,0,0,0,0.11,0,0.78,5.4,0
Ephedra_sinica,0,0,3.1,52.23,0,0.16,0,0,0
Ephedra_alata,2.2,0,0,2.3,0,0,0,0,0
Ephedra_fragilis,0,0,0,0,0,0,0,0,0.4
Ephedra_distachya,0,0,0,3,0,0,0,0,0
Ephedra_intermedia,0,0,0,0,0,0,0,0,0
Ephedra_pachyclada,0,0,0,0,0,0,0,0,0
Ephedra_major,0,0,0.6,3.7,0,0,0,0,1.4
Cedrus_brevifolia,5.5,0,0,0,0,0,0,0,5.8
Cedrus_deodara,0,0,0,0,0,0.4,0,0,0
Cedrus_libani,39.7,1.4,0.3,0,0.2,0.3,0.5,14.7,1.3
Cedrus_atlantica,23.4,0.3,0,0.8,11.4,0,1.3,1.3,0.5
Tsuga_heterophylla,17.1,27.6,0.3,1.5,0.1,1,0.3,7.4,1.7
Pseudolarix_amabilis,31.72,0.14,0,2.25,18.57,1.79,1.17,0,0
Keteleeria_evelyniana,27.8,1.5,0.4,4.4,12.5,1.8,0.5,17.9,8.5
Keteleeria_davidiana,28.1,2,0.3,4.6,13.8,1.5,0.4,15.8,1.4
Abies_firma,14,5.2,0,0,9,0.4,6.1,0.7,3
Abies_pindrow,16.8,6.7,0.4,0.6,0.5,1.3,19.9,6.5,21
Abies_nephrolepis,1.5,1.7,3.6,0.6,0.3,3.5,1,0,1
Abies_sachalinensis,10.7,1.5,0.2,0.9,0.5,0,16,7.7,18.1
Abies_lasiocarpa,5,1.1,0.2,0.4,0,0,10.9,13.6,20.3
Abies_balsamea,11.3,0,0.3,0.9,0,0,5.7,33.5,7.1
Abies_alba,9.3,2.8,0,0,0.8,1.5,0,1.6,0
Abies_nordmanniana,13.7,3.05,0.57,1.1,0,0.02,6.74,9.6,6.27
Abies_cilicica,12.4,14.1,1.16,0.78,0.84,0.42,1.41,1.93,1.45
Abies_numidica,59.7,0.6,0,0.1,1,0.9,1,12.9,10
Abies_cephalonica,10.1,1.1,0.2,1.9,0.8,0.05,9.2,26.9,8.1
Abies_concolor,20.5,1.9,0.3,1.7,0.2,0.2,7.5,25.6,6.9
Pinus_pinaster,20.9,0.4,0,0,14.8,1.8,0.3,0.9,0.8
Pinus_roxburghii,20.7,3,0,2.1,3.3,0,0.4,1.4,1.7
Pinus_canariensis,70.93,0.94,0,0,3.68,0.16,1.18,12.72,0
Pinus_brutia,25.4,0.11,0,0,4.81,0,2.16,9.69,0
Pinus_heldreichii,13.8,2.5,0.1,0.2,8.4,0.6,1.5,4.2,34.3
Pinus_uncinata,12.2,4.5,0.6,0.4,6.8,1.2,4.7,2.5,4.9
Pinus_mugo,17.9,2.7,1.2,0.5,2.4,1.1,1.7,7.8,3.9
Pinus_sylvestris,18.5,0.2,0,5.5,0,0,0.5,0.9,3.3
Pinus_nigra,49.63,0.84,0,0,5.87,4.65,0.93,2.12,1.19
Pinus_kesiya,21.8,11.6,0,1.2,2.8,1.2,1.2,38.9,2.2
Pinus_merkusii,8.9,0,0,0.1,43.1,1.3,0.1,0.4,7.1
